frame,joint,mpjpe_mm_post_alignment
20,10,0.3454270730580227
20,11,0.3305573882518384
20,12,0.225205869520094
20,13,0.21046670575109824
20,14,0.2450092730813524
20,15,0.09100774477417911
20,16,0.23167749083526548
21,5,0.09459595567110499
21,6,0.22277383928547245
21,8,0.5357574720166466
21,10,0.3387451716870473
21,11,0.32939979107028033
21,12,0.22542230820163522
21,13,0.20958897012436903
21,14,0.24548735827357157
21,15,0.0889929809107063
21,16,0.23266230470575935
22,5,0.16436577697479948
22,6,0.14293374577325335
22,7,0.4196520702562781
22,8,0.39967562943656215
22,10,0.3233300012151241
22,11,0.33042659796710777
22,12,0.2347061889534711
22,13,0.1890400598904266
22,14,0.19075814878259478
22,15,0.07160512894191824
22,16,0.19056609671581953
23,0,0.20506296657927917
23,3,0.30623299099272894
23,5,0.13600910754647355
23,6,0.10038445715521598
23,7,0.40222618491983303
23,8,0.3435388159774209
23,9,0.11083474976076066
23,10,0.29696217610717834
23,11,0.28866622480109344
23,12,0.2311201003928711
23,13,0.13300011074338183
23,14,0.18437834363166763
23,15,0.04846619677587782
23,16,0.15813244367563437
24,0,0.1839881002727564
24,5,0.10773543239145726
24,6,0.14579516236580448
24,7,0.484582638169749
24,8,0.40402061898199393
24,10,0.29827400232776846
24,11,0.30443209691037965
24,12,0.23673893885999195
24,13,0.1495885533522156
24,14,0.19561027816156795
24,15,0.06927227750735239
24,16,0.19402007715054098
25,5,0.10215256755094664
25,6,0.19446567529970174
25,8,0.5166991972897975
25,10,0.27998019807743896
25,11,0.3383537422173554
25,12,0.2662226409238259
25,13,0.20740530719836786
25,14,0.2368937730514109
25,15,0.09125759178638991
25,16,0.2612478574623454
26,5,0.143599489067055
26,6,0.09720157704292137
26,7,0.45910495589616673
26,8,0.38770707595345033
26,9,0.10093392147405435
26,10,0.2938535397673044
26,11,0.31239507116026
26,12,0.2543579066001787
26,13,0.13309926751746315
26,14,0.20285491015584467
26,15,0.11348044927848987
26,16,0.1700478348625193
27,5,0.09090383296438642
27,6,0.21052557808379802
27,8,0.5068484615714943
27,10,0.3081667397727071
27,11,0.3297563132421154
27,12,0.254088148189594
27,13,0.21275279067628539
27,14,0.24889977840773095
27,15,0.09905695429324314
27,16,0.25529884683670845
28,5,0.08695608297431218
28,6,0.21668125584420334
28,8,0.4831375496231947
28,10,0.35191625595645426
28,11,0.3054909430822335
28,12,0.23547034333354733
28,13,0.21731206960910637
28,14,0.2522276318639413
28,15,0.11193872191449515
28,16,0.2508129065990034
29,5,0.14110846871633695
29,6,0.11989205969815314
29,7,0.4428510633474738
29,8,0.38069576679970296
29,9,0.10824173835509182
29,10,0.3322694701614356
29,11,0.2927712041510089
29,12,0.2217480184160539
29,13,0.16925233796134828
29,14,0.19390938022745438
29,15,0.09235854556540787
29,16,0.21375434402970145
30,5,0.13929036935981634
30,6,0.10936644394280239
30,7,0.4359943854089932
30,8,0.3691268688290204
30,9,0.11301232907475507
30,10,0.3419063852879797
30,11,0.27752744882075436
30,12,0.21319827347898027
30,13,0.16585040736652396
30,14,0.1806865418284559
30,15,0.0889085961036617
30,16,0.22838391101844566
31,5,0.08364217283749434
31,6,0.22751982005796753
31,8,0.48046026722958646
31,10,0.3783854565151751
31,11,0.2884793765886435
31,12,0.22250634044062478
31,13,0.21744579974620507
31,14,0.25046676420696484
31,15,0.1045523858975704
31,16,0.24797166569806545
32,5,0.08701359555460757
32,6,0.2406167716380604
32,8,0.47968245179983315
32,10,0.38219737832961487
32,11,0.286621713916425
32,12,0.21730904345702198
32,13,0.2173775988040956
32,14,0.2531529488969524
32,15,0.10077847825658225
32,16,0.24824900030346495
33,4,0.3212431564398602
33,5,0.1642763495495515
33,6,0.16286312148574367
33,8,0.35042540584811954
33,10,0.387816084179596
33,11,0.29297279623585376
33,12,0.19831695880576264
33,13,0.1807236511443879
33,14,0.24787926759385565
33,15,0.1225181272271781
33,16,0.2006231124101662
34,4,0.3451001185619803
34,5,0.1411441261818259
34,6,0.16694601690034733
34,8,0.33493858133152254
34,10,0.41735323868044416
34,11,0.28413838954309095
34,12,0.18971540854343227
34,13,0.18432149944031212
34,14,0.21731065545523207
34,15,0.0828606009104714
34,16,0.20959314338039906
35,4,0.32322332406220167
35,5,0.13486275665045583
35,6,0.1644857347169142
35,8,0.3569832413046947
35,10,0.41932463112840873
35,11,0.2867063428830144
35,12,0.18926608086257482
35,13,0.18745715047778877
